area_id,area_key,area_name
1,area1,あきる野市
2,area2,稲城市
3,area3,羽村市
4,area4,葛飾区
5,area5,御蔵島村
6,area6,江戸川区
7,area7,江東区
8,area8,港区
9,area9,荒川区
10,area10,国分寺市
11,area11,国立市
12,area12,狛江市
13,area13,三鷹市
14,area14,三宅村
15,area15,渋谷区
16,area16,小笠原村
17,area17,小金井市
18,area18,小平市
19,area19,昭島市
20,area20,新宿区
21,area21,新島村
22,area22,神津島村
23,area23,杉並区
24,area24,世田谷区
25,area25,清瀬市
26,area26,西多摩郡奥多摩町
27,area27,西多摩郡瑞穂町
28,area28,西多摩郡日の出町
29,area29,西多摩郡檜原村
30,area30,西東京市
31,area31,青ケ島村
32,area32,青梅市
33,area33,千代田区
34,area34,足立区
35,area35,多摩市
36,area36,台東区
37,area37,大田区
38,area38,大島町
39,area39,中央区
40,area40,中野区
41,area41,町田市
42,area42,調布市
43,area43,東久留米市
44,area44,東村山市
45,area45,東大和市
46,area46,日野市
47,area47,八王子市
48,area48,八丈町
49,area49,板橋区
50,area50,品川区
51,area51,府中市
52,area52,武蔵村山市
53,area53,武蔵野市
54,area54,福生市
55,area55,文京区
56,area56,豊島区
57,area57,北区
58,area58,墨田区
59,area59,目黒区
60,area60,利島村
61,area61,立川市
62,area62,練馬区
