id,area_name,subarea_name,group1,group1_note,group2,group2_note,group3,group3_note,group4,group4_note,group5,group5_note,total_posting
1,あきる野市,あきる野市伊奈,252,,201,,141,,240,,283,,1117
2,あきる野市,あきる野市引田,140,,177,,153,,200,,199,,869
3,あきる野市,あきる野市雨間,50,,125,,172,,153,,227,,727
4,あきる野市,あきる野市横沢,289,,208,,33,,102,,28,,660
5,あきる野市,あきる野市乙津,68,,5,,213,,46,,143,,475
6,あきる野市,あきる野市下代継,264,,116,,209,,270,,266,,1125
7,あきる野市,あきる野市舘谷,187,,261,,172,,127,,271,,1018
8,あきる野市,あきる野市舘谷台,43,,23,,226,,23,,18,,333
9,あきる野市,あきる野市牛沼,167,,98,,11,,146,,52,,474
10,あきる野市,あきる野市原小宮1丁目,216,,1,,224,,266,,13,,720
11,あきる野市,あきる野市原小宮2丁目,105,,64,,297,,290,,114,,870
12,あきる野市,あきる野市原小宮,267,,45,,193,,288,,36,,829
13,あきる野市,あきる野市戸倉,240,,169,,151,,289,,277,,1126
14,あきる野市,あきる野市五日市,194,,170,,73,,289,,90,,816
15,あきる野市,あきる野市高尾,94,,77,,204,,165,,20,,560
16,あきる野市,あきる野市三内,11,,131,,192,,206,,174,,714
17,あきる野市,あきる野市山田,150,,27,,20,,210,,116,,523
18,あきる野市,あきる野市秋川1丁目,62,,248,,186,,112,,140,,748
19,あきる野市,あきる野市秋川2丁目,34,,62,,256,,131,,264,,747
20,あきる野市,あきる野市秋川3丁目,29,,188,,193,,73,,267,,750
21,あきる野市,あきる野市秋川4丁目,214,,253,,279,,271,,58,,1075
22,あきる野市,あきる野市秋川5丁目,98,,126,,114,,214,,137,,689
23,あきる野市,あきる野市秋川6丁目,141,,299,,140,,251,,295,,1126
24,あきる野市,あきる野市秋川,264,,14,,101,,229,,97,,705
25,あきる野市,あきる野市秋留1丁目,161,,215,,96,,20,,126,,618
26,あきる野市,あきる野市秋留2丁目,50,,18,,273,,210,,26,,577
27,あきる野市,あきる野市秋留3丁目,63,,28,,52,,245,,270,,658
28,あきる野市,あきる野市秋留4丁目,220,,132,,13,,141,,249,,755
29,あきる野市,あきる野市秋留5丁目,10,,52,,104,,203,,214,,583
30,あきる野市,あきる野市秋留,241,,45,,160,,91,,151,,688
31,あきる野市,あきる野市小川,30,,225,,233,,103,,178,,769
32,あきる野市,あきる野市小川東1丁目,32,,88,,258,,292,,160,,830
33,あきる野市,あきる野市小川東2丁目,28,,139,,221,,48,,76,,512
34,あきる野市,あきる野市小川東3丁目,94,,127,,3,,29,,11,,264
35,あきる野市,あきる野市小川東,94,,94,,176,,94,,58,,516
36,あきる野市,あきる野市小中野,235,,141,,207,,240,,145,,968
37,あきる野市,あきる野市小峰台,180,,204,,150,,230,,85,,849
38,あきる野市,あきる野市小和田,147,,91,,44,,116,,95,,493
39,あきる野市,あきる野市上ノ台,186,,200,,139,,254,,30,,809
40,あきる野市,あきる野市上代継,203,,152,,286,,20,,31,,692
41,あきる野市,あきる野市深沢,15,,121,,282,,105,,261,,784
42,あきる野市,あきる野市菅生,257,,49,,99,,20,,138,,563
43,あきる野市,あきる野市瀬戸岡,43,,164,,235,,230,,284,,956
44,あきる野市,あきる野市切欠,105,,5,,203,,96,,163,,572
45,あきる野市,あきる野市草花,215,,168,,199,,32,,70,,684
46,あきる野市,あきる野市二宮,275,,114,,278,,137,,239,,1043
47,あきる野市,あきる野市二宮東1丁目,193,,271,,267,,214,,276,,1221
48,あきる野市,あきる野市二宮東2丁目,84,,255,,168,,19,,160,,686
49,あきる野市,あきる野市二宮東3丁目,44,,210,,186,,179,,272,,891
50,あきる野市,あきる野市二宮東,240,,71,,8,,70,,58,,447
51,あきる野市,あきる野市入野,35,,112,,117,,273,,272,,809
52,あきる野市,あきる野市平沢,284,,52,,290,,90,,212,,928
53,あきる野市,あきる野市平沢西1丁目,280,,240,,190,,171,,209,,1090
54,あきる野市,あきる野市平沢西,277,,258,,251,,159,,30,,975
55,あきる野市,あきる野市平沢東1丁目,273,,85,,227,,77,,248,,910
56,あきる野市,あきる野市平沢東,69,,189,,68,,138,,63,,527
57,あきる野市,あきる野市網代,134,,124,,63,,142,,135,,598
58,あきる野市,あきる野市野辺,111,,34,,5,,204,,231,,585
59,あきる野市,あきる野市油平,43,,184,,204,,45,,202,,678
60,あきる野市,あきる野市養沢,29,,174,,215,,101,,147,,666
61,あきる野市,あきる野市留原,107,,277,,296,,202,,142,,1024
62,あきる野市,あきる野市渕上,181,,58,,239,,156,,181,,815
63,稲城市,稲城市押立,276,,230,,261,,3,,224,,994
64,稲城市,稲城市向陽台1丁目,175,,24,,289,,116,,122,,726
65,稲城市,稲城市向陽台2丁目,173,,117,,139,,299,,111,,839
66,稲城市,稲城市向陽台3丁目,222,,252,,35,,78,,170,,757
67,稲城市,稲城市向陽台4丁目,109,,27,,247,,98,,197,,678
68,稲城市,稲城市向陽台5丁目,53,,234,,255,,160,,168,,870
69,稲城市,稲城市向陽台6丁目,169,,170,,132,,70,,28,,569
70,稲城市,稲城市向陽台,55,,131,,52,,265,,175,,678
71,稲城市,稲城市坂浜,85,,152,,188,,219,,259,,903
72,稲城市,稲城市若葉台1丁目,98,,259,,74,,256,,172,,859
73,稲城市,稲城市若葉台2丁目,223,,93,,247,,23,,12,,598
74,稲城市,稲城市若葉台3丁目,141,,65,,233,,173,,117,,729
75,稲城市,稲城市若葉台4丁目,276,,245,,185,,127,,166,,999
76,稲城市,稲城市若葉台,81,,159,,229,,281,,60,,810
77,稲城市,稲城市大丸,19,,296,,82,,268,,277,,942
